asin,sentence,helpful,main_image_url,product_title
B00C30FCUI,"Genuine Wood In-ear Noise-isolating Headphones ~ What are theyOstensibly these are a set of headphones,",1.4,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B00B0DWB62,Get a $30 water table and buy a pirate ship!,0.8,http://ecx.images-amazon.com/images/I/817iEr0lwtL.jpg,Little Tikes Anchors Away Pirate Ship Water Play Table
B008MPKAPK,"If you're in the southern US, you can use this radio to receive Radio Havana Cuba starting at around 9:00 PM CT until 11:00 PM CT.",1.5,http://ecx.images-amazon.com/images/I/416jPdinWNL.jpg,"Kaito KA321 Pocket-size 10-Band AM/FM Shortwave Radio with DSP (Digital Signal Processing), Black"
0375703764,Many reviews giving this book a low rating have put it much better than I can.,1.18,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
B000ANVPPQ,"\"This delightfully wonderful film essentially spawned a new genre, western comedies, which ultimately lead to Lee Marvin's Oscar for Best Supporting Actor (\"\"Cat Ballou\"\").\"",1.8,http://ecx.images-amazon.com/images/I/51VKBZFQRRL.jpg,McLintock! (Authentic Collector's Edition)
B00SVYNSRE,Nice atmospheric feel going on in the intro.,1.0,http://ecx.images-amazon.com/images/I/71eOmDn76+L.jpg,Human
0399157867,A good read for any time.,1.36,http://ecx.images-amazon.com/images/I/81YrIbqV3OL.jpg,V is for Vengeance: A Kinsey Millhone Novel
B008FSCNTK,"I sat through the whole album waiting for post coital aural bliss, the grown upness, the lovers together in bed.",1.2,http://ecx.images-amazon.com/images/I/71YGLpEIXnL.jpg,Glad Rag Doll
0618871713,"Nothing is random, but everything is different.",0.4,http://ecx.images-amazon.com/images/I/81VWEyQoyrL.jpg,Fun Home: A Family Tragicomic
0375703764,"not very many parts of the book are like this, but its neat and intresting to say the least...) narration, and notes to increase the depth of the novel.",1.9,http://ecx.images-amazon.com/images/I/810pcXb+l3L.jpg,House of Leaves
0671700758,He knows how people use the imagination in a way that drags them down and how people use it to suceed.,0.8,http://ecx.images-amazon.com/images/I/411zKO0BCRL.jpg,"Psycho-Cybernetics, A New Way to Get More Living Out of Life"
B00C30FCUI,I bought one of these and the headphones broke in a month.,1.4,http://ecx.images-amazon.com/images/I/416HU0yr35L.jpg,Symphonized NRG Premium Genuine Wood In-ear Noise-isolating Headphones|Earbuds|Earphones with Microphone (Black)
B00023GGHQ,Cole Porter's songs were undeniably catchy and fun,1.5,http://ecx.images-amazon.com/images/I/71wSUy+VP5L.jpg,De-Lovely
B00004RD54,THEN in 1974 a roommate brought this home,0.3,http://ecx.images-amazon.com/images/I/71eihBGDpML.jpg,Rock 'n' Roll Animal (Live)
B00XI057M0,it’s definitely one of the most original films of its kind.,1.5,http://ecx.images-amazon.com/images/I/51Kj+eNusaL.jpg,Ex Machina [Blu-ray + Digital HD]
B00BLG5CSC,They're just good for listening and aren't too outrageous considering how long they last.,1.5,http://ecx.images-amazon.com/images/I/61QM9xk6X-L.jpg,Philips ActionFit Sports Earhook Headphones
B00KU9LQUO,"Definitely worth the money, even for gamers without kids, but should have a little bit of inner geek.",1.3,http://ecx.images-amazon.com/images/I/91H7TLUPYqL.jpg,King of New York Board Game
B008MPKAPK,I suspect the SW stations come in better in the evening.,1.1,http://ecx.images-amazon.com/images/I/416jPdinWNL.jpg,"Kaito KA321 Pocket-size 10-Band AM/FM Shortwave Radio with DSP (Digital Signal Processing), Black"
B000ANVPPQ,this my favorite john wayne movie,1.1,http://ecx.images-amazon.com/images/I/51VKBZFQRRL.jpg,McLintock! (Authentic Collector's Edition)
B00000F1D3,"\"You can now add me to your \"\"Fan List\"\" I truly enjoyed listening to \"\"Believe\"\"  You Go Girl\"",0.6,http://ecx.images-amazon.com/images/I/41H0Y95GM1L.jpg,Believe
B00KU9LQUO,as personally I do not own a copy of King of Tokyo and,0.7,http://ecx.images-amazon.com/images/I/91H7TLUPYqL.jpg,King of New York Board Game
B00XI057M0,"I think Tigers are beautiful and fascinating, but I surely wouldn't set one free among humans, for any reason.5 stars for the eye candy, 2 stars for the ridiculous script.",1.4,http://ecx.images-amazon.com/images/I/51Kj+eNusaL.jpg,Ex Machina [Blu-ray + Digital HD]
0451232852,"With the historical accuracy of this novel, the characters are just there to provide entertainment.",1.3,http://ecx.images-amazon.com/images/I/91zB9X+jhwL.jpg,Fall of Giants: Book One of the Century Trilogy
B003HC9JIW,"Not to mention, she does not seem to age and always looks to be in great shape",0.7,http://ecx.images-amazon.com/images/I/51u7P1dbtxL.jpg,Start! Walking At Home with Leslie Sansone:  Beginner/Intermediate - 1 & 2 Mile Walk
